sample	species	group	population	FROH	het	high_hom	high_het	high_all	moderate_hom	moderate_het	moderate_all	low_hom	low_het	low_all	cadd_01_hom	cadd_01_het	cadd_01_total	cadd_05_hom	cadd_05_het	cadd_05_total	cadd_10_hom	cadd_10_het	cadd_10_total	cadd_25_hom	cadd_25_het	cadd_25_total	FROH_100k	het_out_roh	het_out_roh_100k	cadd_01_hom_out_roh	cadd_01_het_out_roh	cadd_05_hom_out_roh	cadd_05_het_out_roh	modifier_hom	modifier_het	modifier_all	high_hom_raw	high_het_raw	high_all_raw	moderate_hom_raw	moderate_het_raw	moderate_all_raw	low_hom_raw	low_het_raw	low_all_raw	high_hom_corr	high_het_corr	high_all_corr	moderate_hom_corr	moderate_het_corr	moderate_all_corr	low_hom_corr	low_het_corr	low_all_corr	cadd_01_hom_raw	cadd_01_het_raw	cadd_01_total_raw	cadd_05_hom_raw	cadd_05_het_raw	cadd_05_total_raw	cadd_10_hom_raw	cadd_10_het_raw	cadd_10_total_raw	cadd_25_hom_raw	cadd_25_het_raw	cadd_25_total_raw	cadd_50_hom_raw	cadd_50_het_raw	cadd_50_total_raw	cadd_neutral_hom_raw	cadd_neutral_het_raw	cadd_neutral_total_raw	cadd_01_hom_corr	cadd_01_het_corr	cadd_01_total_corr	cadd_05_hom_corr	cadd_05_het_corr	cadd_05_total_corr	cadd_10_hom_corr	cadd_10_het_corr	cadd_10_total_corr	cadd_25_hom_corr	cadd_25_het_corr	cadd_25_total_corr	cadd_50_hom_corr	cadd_50_het_corr	cadd_50_total_corr
MK_5A19569	Mauritius	recent	East	0.4275663	3.31E-05	7.16E-05	1.15E-04	0.000257911	0.003840009	0.00373971	0.011419728	0.004656728	0.003152246	0.012465702	0.003392875	0.002993713	0.009779463	0.032531683	0.032731264	0.097794631	0.054884742	0.050294382	0.160063866	0.166650035	0.135515418	0.468815488	0.66365927	6.23E-05	9.84E-05	0.977653631	1	0.973975637	0.987804878	53450	32683	69791.5	5	8	9	268	261	398.5	325	220	435	4.793810746	7.670097193	8.628859342	256.948256	250.2369209	382.0667164	311.5976985	210.9276728	417.0615349	17	15	24.5	163	164	245	275	252	401	835	679	1174.5	1325	1238	1944	3561	2899	5010.5	15.73535575	13.88413743	22.67742447	150.8742934	151.7999026	226.7742447	254.5425195	233.2535088	371.1692739	772.8836502	628.488621	1087.127961	1226.43214	1145.904142	1799.384211
MK_5A19603	Mauritius	recent	East	0.552098241	2.56E-05	8.63E-05	1.01E-04	0.000273358	0.004632694	0.003841395	0.013106783	0.004776566	0.003697523	0.013250655	0.003269978	0.003883098	0.010423053	0.034334764	0.026568567	0.095238095	0.060698958	0.034334764	0.15573268	0.176170039	0.107500511	0.459840589	0.75874771	6.50E-05	1.06E-04	0.983146067	1	0.972928177	0.961538462	56557	25898	69506	6	7	9.5	322	267	455.5	332	257	460.5	5.776201928	6.738902249	9.145653052	309.9895034	257.0409858	438.5099963	319.6165067	247.4139826	443.3234979	16	19	25.5	168	130	233	297	168	381	862	526	1125	1439	902	1890	3815	2156	4893	15.16538633	18.00889626	24.16983446	159.2365564	123.2187639	220.8459384	281.5074837	159.2365564	361.1257619	817.0351883	498.5620755	1066.316226	1363.936933	854.9486541	1791.41126
MK_5A19607	Mauritius	recent	East	0.425395457	3.14E-05	8.16E-05	1.14E-04	0.00027735	0.004421278	0.004258131	0.013100687	0.004421278	0.003768691	0.012611247	0.004275027	0.003325021	0.011875074	0.034912718	0.040850255	0.110675692	0.063175395	0.042275264	0.168626054	0.18715117	0.121125757	0.495428097	0.728247981	5.81E-05	1.16E-04	0.955128205	0.928571429	0.973121564	0.988372093	47770	27049	61294.5	5	7	8.5	271	261	401.5	271	231	386.5	5.458356666	7.641699332	9.279206332	295.8429313	284.926218	438.3060403	295.8429313	252.176078	421.9309703	18	14	25	147	172	233	266	178	355	788	510	1043	1189	926	1652	3187	2047	4210.5	19.82656803	15.42066403	27.53690005	161.9169723	189.4538723	256.6439084	292.9926165	196.0627283	391.0239807	867.9630895	561.752761	1148.83947	1309.654966	1019.966778	1819.638355
MK_5A19608	Mauritius	recent	East	0.473005337	2.96E-05	1.06E-04	1.21E-04	0.000332796	0.004175081	0.003645632	0.011995794	0.004568386	0.003373345	0.012510117	0.004103229	0.00345535	0.011661808	0.039088651	0.035201382	0.113378685	0.06457186	0.040384408	0.169528128	0.178598423	0.122017061	0.479213907	0.730333703	6.12E-05	1.10E-04	0.95480226	0.9375	0.961801596	0.993865031	52387	27439	66106.5	7	8	11	276	241	396.5	302	223	413.5	7.085447569	8.097654364	11.13427475	279.3690756	243.9418377	401.3399944	305.6864523	225.7221154	418.54751	19	16	27	181	163	262.5	299	187	392.5	827	565	1109.5	1358	954	1835	3600	2061	4630.5	19.02980875	16.0251021	27.0423598	181.2839676	163.2557277	262.9118314	299.4690956	187.2933808	393.115786	828.297465	565.8864181	1111.240674	1360.130541	955.496713	1837.878898
MK_5A19609	Mauritius	recent	East	0.62581649	2.19E-05	1.04E-04	7.41E-05	0.000281671	0.004328844	0.004076822	0.01273451	0.004907011	0.003898924	0.013712946	0.003770818	0.003770818	0.011312454	0.036660731	0.02032052	0.093641982	0.065360846	0.031213994	0.161935686	0.183722635	0.086309836	0.453755106	0.790237447	6.46E-05	1.04E-04	0.967032967	0.888888889	0.967507003	0.979381443	55087	24735	67454.5	7	5	9.5	292	275	429.5	331	263	462.5	6.943853111	4.95989508	9.423800651	289.6578726	272.7942294	426.0549873	328.3450543	260.8904812	458.7902949	18	18	27	175	97	223.5	312	149	386.5	877	412	1083	1446	708	1800	3899	1749	4773.5	17.4881669	17.4881669	26.23225035	170.0238449	94.2417883	217.144739	303.1282263	144.7631594	375.509806	852.0623541	400.2847091	1052.204709	1404.882741	687.8678981	1748.81669
MK_5A19613	Mauritius	recent	East	0.423512898	3.25E-05	7.51E-05	1.35E-04	0.00028551	0.003937037	0.003576393	0.011450467	0.004462978	0.003831849	0.012757805	0.003513849	0.004340637	0.011368334	0.031417941	0.034725093	0.097560976	0.064696155	0.039892518	0.169284828	0.178999587	0.114096734	0.472095908	0.694169129	6.09E-05	1.06E-04	0.972375691	1	0.969089868	0.982142857	51456	30183	66547.5	5	9	9.5	262	238	381	297	255	424.5	5.027495288	9.049491518	9.552241046	263.4407531	239.3087757	383.0951409	298.6332201	256.4022597	426.8343499	17	21	27.5	152	168	236	313	193	409.5	866	552	1142	1371	1017	1879.5	3614	2448	4838	16.29640347	20.13085135	26.36182915	145.7090193	161.0468108	226.2324247	300.0455463	185.01211	392.5516013	830.1579651	529.1538069	1094.734869	1314.257009	974.9083724	1801.711196
MK_5A19614	Mauritius	recent	East	0.474252267	2.90E-05	7.53E-05	1.36E-04	0.000286179	0.004081817	0.004639113	0.012802747	0.00439812	0.004729485	0.013525725	0.003028337	0.004542505	0.010599178	0.030715985	0.039800995	0.101232966	0.060350422	0.040449924	0.161150768	0.177590309	0.120268224	0.475448842	0.728349553	6.02E-05	1.07E-04	0.982248521	1	0.974208675	0.967391304	52661	27462	66392	5	9	9.5	271	308	425	292	314	449	5.039270434	9.070686781	9.574613824	273.1284575	310.4190587	428.3379869	294.2933933	316.4661832	452.526485	14	21	24.5	142	184	234	279	187	372.5	821	556	1099	1363	940	1833	3460	2326	4623	14.0447125	21.06706875	24.57824687	142.4535125	184.58765	234.7473375	279.8910562	187.5972312	373.6896718	823.6220687	557.775725	1102.509931	1367.353081	943.0021249	1838.854144
MK_5A19615	Mauritius	recent	East	0.443750512	3.14E-05	7.09E-05	1.28E-04	0.000269379	0.003870556	0.003771311	0.011512423	0.004423493	0.003601177	0.012448163	0.001989456	0.00497364	0.008952551	0.033223913	0.040187009	0.106634835	0.058887894	0.052123744	0.169899532	0.167114294	0.150999702	0.48522829	0.658506245	5.96E-05	9.19E-05	0.994350282	1	0.970221982	0.99009901	53626	33813	70532.5	5	9	9.5	273	266	406	312	254	439	4.743447952	8.538206313	9.012551108	258.9922582	252.351431	385.1679737	295.9911522	240.9671559	416.4747302	10	25	22.5	167	202	268	296	262	427	840	759	1219.5	1348	1197	1946.5	3459	3135	5026.5	9.226628282	23.0665707	20.75991363	154.0846923	186.3778913	247.273638	273.1081971	241.737661	393.9770276	775.0367757	700.3010866	1125.187319	1243.749492	1104.427405	1795.963195
MK_5A19617	Mauritius	recent	East	0.528460395	2.77E-05	1.13E-04	1.13E-04	0.000338374	0.003770454	0.004479428	0.012020336	0.004237732	0.00433441	0.012809874	0.002009377	0.004242018	0.008260772	0.032150033	0.031480241	0.095780308	0.06229069	0.042420183	0.167001563	0.181960259	0.111185532	0.47510605	0.749488315	6.10E-05	1.11E-04	0.974193548	0.894736842	0.963453056	0.964539007	48744	26635	62061.5	7	7	10.5	234	278	373	263	269	397.5	7.547257796	7.547257796	11.32088669	252.2940463	299.7339525	402.1610226	283.5612572	290.0303353	428.5764248	9	19	18.5	144	141	214.5	279	190	374	815	498	1064	1304	841	1724.5	3502	1954	4479	9.319018163	19.67348279	19.15575956	149.1042906	145.9979512	222.1032662	288.8895631	196.7348279	387.256977	843.888867	515.6523384	1101.715036	1350.222187	870.810475	1785.627425
MK_5A19624	Mauritius	recent	East	0.583290666	2.41E-05	1.05E-04	8.99E-05	0.000299807	0.004092371	0.003387823	0.011572565	0.004542082	0.003297881	0.012382045	0.003192169	0.002340924	0.008725261	0.038944456	0.028091083	0.105979996	0.061289636	0.040859757	0.163439029	0.182166418	0.107682486	0.472015322	0.762101257	6.18E-05	1.01E-04	0.975460123	1	0.960683761	0.984848485	53621	26177	66709.5	7	6	10	273	226	386	303	220	413	7.021400846	6.018343582	10.03057264	273.834633	226.6909416	387.1801038	303.9263509	220.672598	414.2626499	15	11	20.5	183	132	249	288	192	384	856	506	1109	1393	776	1781	3700	1998	4699	14.80452662	10.85665285	20.23285305	180.6152248	130.2798343	245.7551419	284.2469111	189.4979407	378.9958815	844.8449858	499.4060313	1094.548001	1374.847039	765.8875105	1757.790794
